country,year,nuclear_electricity,renewables_electricity,carbon_intensity_elec,coal_electricity,gas_electricity
Germany,2000,169.61,35.41,573.126,296.68,49.2
Germany,2001,171.3,37.88,565.447,293.74,55.5
Germany,2002,164.84,44.49,569.566,299.6,56.3
Germany,2003,165.06,46.67,569.955,304.63,62.59
Germany,2004,167.07,57.97,554.659,298.77,62.67
Germany,2005,163.05,63.43,546.271,288.14,72.19
Germany,2006,167.27,72.56,536.163,288.93,74.73
Germany,2007,140.53,89.44,551.783,297.1,77.45
Germany,2008,148.49,94.37,525.408,275.21,88.48
Germany,2009,134.93,96.08,521.549,253.45,80.27
Germany,2010,140.56,105.41,516.637,262.89,88.76
Germany,2011,107.97,124.43,529.669,262.46,85.67
Germany,2012,99.46,143.4,534.164,276.23,75.95
Germany,2013,97.29,151.95,538.027,288.2,67.0
Germany,2014,97.13,161.93,521.681,274.41,60.61
Germany,2015,91.79,188.14,503.591,272.2,61.47
Germany,2016,84.63,189.13,498.301,261.75,80.62
Germany,2017,76.32,215.68,469.711,241.26,86.04
Germany,2018,76.0,222.93,454.545,228.16,81.56
Germany,2019,75.07,241.17,392.491,171.45,90.0
Germany,2020,64.38,251.49,355.659,134.6,95.0
Germany,2021,69.13,232.5,394.848,164.65,90.31
Germany,2022,34.71,251.54,420.107,179.93,79.05
Germany,2023,7.22,264.69,371.311,124.97,77.73
Germany,2024,0.0,273.94,344.14,104.35,79.15
